Threshold,FPR,TPR,Precision,Recall,F1,MCC
0.00945,0.0234955511834823,0.989471991010428,0.7954725140541,0.989471991010428,0.881929684695409,0.876040434563779
0.00955,0.0234091943217716,0.989427157233368,0.796063589747167,0.989427157233368,0.88227501140796,0.876382804025749
0.00965,0.0233245126556948,0.98938414875003,0.796644261672487,0.98938414875003,0.882614408697978,0.876719498122922
0.00975,0.0232416273472,0.989342338115698,0.797213532356712,0.989342338115698,0.882947030221571,0.877049600917096
0.00985,0.023159816692508,0.989300014117506,0.797776095694278,0.989300014117506,0.883275086494309,0.87737516505928
0.00995,0.0230786118475577,0.989257747159743,0.79833528493131,0.989257747159743,0.883600854636865,0.877698530189783
0.01005,0.0229985132638751,0.989211829614535,0.79888698524438,0.989211829614535,0.883920340153223,0.878015329194262
0.01015,0.0229180406585257,0.989169904899345,0.799442763772933,0.989169904899345,0.884243678314944,0.87833647099554
0.01025,0.0228397858436223,0.989128322426728,0.799983881141549,0.989128322426728,0.884557953094042,0.878648622020285
0.01035,0.0227632694392823,0.989089763096839,0.800514069533867,0.989089763096839,0.884866535211904,0.878955417314372
0.01045,0.0226868689289797,0.98904829470508,0.801043719678637,0.98904829470508,0.885173408479931,0.879260305856515
0.01055,0.0226129179971983,0.98900927905176,0.801557278982512,0.98900927905176,0.885471230374684,0.879556397295733
0.01065,0.022539014476614,0.988968609226004,0.802070938332607,0.988968609226004,0.885768247233454,0.879851604342616
0.01075,0.0224660591799733,0.988926855632101,0.802578437539826,0.988926855632101,0.886060871446407,0.880142367907389
0.01085,0.0223942628237082,0.988887554776637,0.803078830290185,0.988887554776637,0.886349953209562,0.880429868602615
0.01095,0.0223215972621614,0.988849794012751,0.803586279157268,0.988849794012751,0.886643756517128,0.880722343747262
0.01105,0.0222508018089479,0.988813117017014,0.80408134071761,0.988813117017014,0.8869302634298,0.881007643525832
0.01115,0.0221804646639738,0.988775584414844,0.80457366446275,0.988775584414844,0.887214574385726,0.881290725376482
0.01125,0.0221118870012062,0.988737196206241,0.805054004748405,0.988737196206241,0.887491073683408,0.881565927229686
